waktu,beras,telur,gula,daging,cabai
2018-01-01,12100.0,23800.0,12500.0,32750.0,33400.0
2018-01-02,12100.0,23550.0,12600.0,32750.0,33150.0
2018-01-03,12100.0,23700.0,12600.0,33000.0,30150.0
2018-01-04,12100.0,23550.0,12600.0,33000.0,30750.0
2018-01-05,12100.0,23200.0,12600.0,33500.0,32150.0
2018-01-06,12100.0,23200.0,12600.0,33500.0,32150.0
2018-01-07,12100.0,23200.0,12600.0,33500.0,32150.0
2018-01-08,12450.0,22450.0,12600.0,34000.0,31900.0
2018-01-09,12450.0,22450.0,12600.0,34000.0,32500.0
2018-01-10,12500.0,22450.0,12600.0,34500.0,32750.0
2018-01-11,12450.0,21850.0,12600.0,33500.0,33000.0
2018-01-12,12450.0,21750.0,12600.0,35500.0,29650.0
2018-01-13,12450.0,21750.0,12600.0,35500.0,29650.0
2018-01-14,12450.0,21750.0,12600.0,35500.0,29650.0
2018-01-15,12450.0,21750.0,12600.0,35500.0,29750.0
2018-01-16,12450.0,21250.0,12600.0,35250.0,30250.0
2018-01-17,12500.0,21650.0,12600.0,34750.0,28400.0
2018-01-18,12450.0,21650.0,12600.0,34500.0,28150.0
2018-01-19,12450.0,20750.0,12650.0,34500.0,27250.0
2018-01-20,12450.0,20750.0,12650.0,34500.0,27250.0
2018-01-21,12450.0,20750.0,12650.0,34500.0,27250.0
2018-01-22,12450.0,20500.0,12650.0,34500.0,26900.0
2018-01-23,12450.0,20500.0,12650.0,34250.0,27650.0
2018-01-24,12400.0,20500.0,12650.0,34000.0,27650.0
2018-01-25,12450.0,20500.0,12650.0,33500.0,27150.0
2018-01-26,12450.0,20350.0,12650.0,32000.0,26500.0
2018-01-27,12450.0,20350.0,12650.0,32000.0,26500.0
2018-01-28,12450.0,20350.0,12650.0,32000.0,26500.0
2018-01-29,12450.0,20350.0,12650.0,32000.0,25750.0
2018-01-30,12250.0,20100.0,12650.0,32000.0,26150.0
2018-01-31,12250.0,20100.0,12650.0,32000.0,25750.0
2018-02-01,12250.0,19850.0,12650.0,32000.0,25750.0
2018-02-02,12250.0,19250.0,12600.0,32750.0,27150.0
2018-02-03,12250.0,19250.0,12600.0,32750.0,27150.0
2018-02-04,12250.0,19250.0,12600.0,32750.0,27150.0
2018-02-05,12450.0,19250.0,12600.0,32750.0,26250.0
2018-02-06,12450.0,19250.0,12600.0,33000.0,28900.0
2018-02-07,12450.0,19250.0,12600.0,33000.0,29900.0
2018-02-08,12450.0,19000.0,12600.0,33500.0,31400.0
2018-02-09,12450.0,20000.0,12550.0,33000.0,31900.0
2018-02-10,12450.0,20000.0,12550.0,33000.0,31900.0
2018-02-11,12450.0,20000.0,12550.0,33000.0,31900.0
2018-02-12,12900.0,20000.0,12550.0,32000.0,34000.0
2018-02-13,13000.0,20000.0,12600.0,32000.0,34750.0
2018-02-14,13000.0,21250.0,12600.0,32000.0,34000.0
2018-02-15,13000.0,21250.0,12600.0,32000.0,34000.0
2018-02-16,13000.0,21200.0,12600.0,28250.0,35750.0
2018-02-17,13000.0,21200.0,12600.0,28250.0,35750.0
2018-02-18,13000.0,21200.0,12600.0,28250.0,35750.0
2018-02-19,12700.0,20850.0,12600.0,28250.0,35750.0
2018-02-20,12750.0,21200.0,12600.0,28750.0,37150.0
2018-02-21,12700.0,21250.0,12600.0,28750.0,37750.0
2018-02-22,12650.0,21200.0,12600.0,30000.0,34400.0
2018-02-23,12700.0,20950.0,12600.0,28500.0,36500.0
2018-02-24,12700.0,20950.0,12600.0,28500.0,36500.0
2018-02-25,12700.0,20950.0,12600.0,28500.0,36500.0
2018-02-26,12600.0,20850.0,12600.0,28750.0,36000.0
2018-02-27,12500.0,20850.0,12600.0,30000.0,35750.0
2018-02-28,12550.0,20950.0,12600.0,29000.0,36000.0
2018-03-01,12600.0,20950.0,12600.0,29250.0,37400.0
2018-03-02,12500.0,20700.0,12650.0,29250.0,40250.0
2018-03-03,12500.0,20700.0,12650.0,29250.0,40250.0
2018-03-04,12500.0,20700.0,12650.0,29250.0,40250.0
2018-03-05,12500.0,20700.0,12600.0,29250.0,40750.0
2018-03-06,12500.0,20600.0,12600.0,30000.0,40250.0
2018-03-07,12650.0,20600.0,12600.0,30000.0,40000.0
2018-03-08,12500.0,20600.0,12600.0,30000.0,44750.0
2018-03-09,12450.0,20600.0,12650.0,31500.0,39750.0
2018-03-10,12450.0,20600.0,12650.0,31500.0,39750.0
